mjd, bright, cum_bright, dark, cum_dark, twilight, cum_twilight
59654.0, 10.24, 10.24, 0.00, 0.00, 0.48, 0.48
59655.0, 10.21, 20.45, 0.00, 0.00, 0.48, 0.96
59656.0, 10.17, 30.62, 0.00, 0.00, 0.48, 1.44
59658.0, 9.52, 40.14, 0.58, 0.58, 0.48, 1.92
59659.0, 9.04, 49.18, 1.67, 2.24, 1.12, 3.04
59660.0, 7.88, 57.06, 2.79, 5.04, 1.12, 4.16
59661.0, 6.69, 63.75, 3.94, 8.98, 1.12, 5.29
59662.0, 5.51, 69.26, 5.09, 14.07, 1.13, 6.41
59663.0, 4.40, 73.66, 6.17, 20.24, 1.13, 7.54
59664.0, 3.39, 77.05, 7.14, 27.38, 1.13, 8.67
59665.0, 1.13, 78.18, 9.37, 36.75, 1.13, 9.80
59666.0, 1.13, 79.31, 9.33, 46.08, 1.13, 10.93
59667.0, 1.13, 80.45, 9.29, 55.37, 1.13, 12.06
59668.0, 1.14, 81.58, 9.26, 64.63, 1.14, 13.20
59669.0, 1.14, 82.72, 9.22, 73.85, 1.14, 14.34
59670.0, 1.14, 83.86, 9.18, 83.03, 1.14, 15.48
59671.0, 1.14, 85.00, 9.15, 92.18, 1.14, 16.62
59672.0, 1.14, 86.15, 9.11, 101.29, 1.14, 17.76
59673.0, 1.15, 87.29, 9.07, 110.36, 1.15, 18.91
59674.0, 1.15, 88.44, 9.03, 119.39, 1.15, 20.06
59675.0, 1.15, 89.60, 9.00, 128.39, 1.15, 21.21
59676.0, 1.16, 90.75, 8.96, 137.35, 1.16, 22.37
59677.0, 6.36, 97.11, 3.72, 141.07, 1.16, 23.53
59678.0, 7.15, 104.26, 2.89, 143.96, 1.16, 24.69
59679.0, 7.87, 112.13, 2.14, 146.10, 1.16, 25.85
59680.0, 8.50, 120.64, 1.47, 147.57, 1.17, 27.02
59681.0, 9.07, 129.71, 0.87, 148.44, 1.17, 28.19
59682.0, 9.91, 139.61, 0.00, 148.44, 1.17, 29.36
59683.0, 9.87, 149.49, 0.00, 148.44, 1.18, 30.54
59684.0, 9.84, 159.32, 0.00, 148.44, 1.18, 31.72
59685.0, 9.80, 169.13, 0.00, 148.44, 1.18, 32.90
59687.0, 9.74, 178.86, 0.00, 148.44, 1.19, 34.09
59688.0, 8.37, 187.23, 1.34, 149.78, 1.19, 35.29
59689.0, 7.14, 194.37, 2.53, 152.31, 1.20, 36.48
59690.0, 5.97, 200.34, 3.66, 155.97, 1.20, 37.68
59691.0, 4.91, 205.25, 4.69, 160.66, 1.21, 38.89
59692.0, 3.99, 209.24, 5.58, 166.24, 1.21, 40.10
59693.0, 3.22, 212.46, 6.31, 172.55, 1.21, 41.31
59694.0, 1.22, 213.68, 8.28, 180.83, 1.22, 42.53
59695.0, 1.22, 214.90, 8.25, 189.08, 1.22, 43.75
59696.0, 1.23, 216.12, 8.21, 197.29, 1.23, 44.97
59697.0, 1.23, 217.35, 8.17, 205.47, 1.23, 46.20
59698.0, 1.23, 218.59, 8.14, 213.60, 1.23, 47.44
59699.0, 1.24, 219.82, 8.10, 221.70, 1.24, 48.68
59700.0, 1.24, 221.07, 8.07, 229.77, 1.24, 49.92
59701.0, 1.25, 222.31, 8.03, 237.80, 1.25, 51.16
59702.0, 1.25, 223.56, 7.99, 245.79, 1.25, 52.41
59703.0, 1.26, 224.82, 7.96, 253.75, 1.26, 53.67
59704.0, 1.26, 226.08, 7.92, 261.67, 1.26, 54.93
59705.0, 1.26, 227.34, 7.89, 269.56, 1.26, 56.19
59706.0, 1.27, 228.61, 7.85, 277.42, 1.27, 57.46
59707.0, 6.14, 234.76, 2.95, 280.37, 1.27, 58.74
59708.0, 6.73, 241.48, 2.34, 282.70, 1.28, 60.01
59709.0, 7.25, 248.73, 1.79, 284.49, 1.28, 61.30
59710.0, 7.74, 256.47, 1.27, 285.76, 1.29, 62.58
59711.0, 8.21, 264.68, 0.77, 286.53, 1.29, 63.87
59712.0, 8.95, 273.63, 0.00, 286.53, 1.30, 65.17
59713.0, 8.92, 282.55, 0.00, 286.53, 1.30, 66.47
59715.0, 8.87, 291.42, 0.00, 286.53, 1.31, 67.78
59716.0, 8.84, 300.27, 0.00, 286.53, 1.31, 69.09
59717.0, 7.86, 308.13, 0.96, 287.49, 1.32, 70.41
59718.0, 6.71, 314.84, 2.08, 289.56, 1.32, 71.74
59719.0, 5.72, 320.56, 3.05, 292.62, 1.33, 73.06
59720.0, 4.88, 325.44, 3.86, 296.48, 1.33, 74.39
59721.0, 4.19, 329.63, 4.53, 301.01, 1.34, 75.73
59722.0, 3.61, 333.24, 5.09, 306.10, 1.34, 77.07
59723.0, 1.34, 334.58, 7.33, 313.44, 1.34, 78.41
59724.0, 1.35, 335.93, 7.31, 320.75, 1.35, 79.76
59725.0, 1.35, 337.28, 7.28, 328.03, 1.35, 81.11
59726.0, 1.36, 338.64, 7.26, 335.29, 1.36, 82.47
59727.0, 1.36, 340.00, 7.24, 342.52, 1.36, 83.83
59728.0, 1.36, 341.36, 7.21, 349.74, 1.36, 85.19
59729.0, 1.37, 342.73, 7.19, 356.93, 1.37, 86.56
59730.0, 1.37, 344.10, 7.17, 364.10, 1.37, 87.93
59731.0, 1.37, 345.47, 7.15, 371.25, 1.37, 89.30
59732.0, 1.38, 346.85, 7.13, 378.38, 1.38, 90.68
59733.0, 1.38, 348.23, 7.11, 385.49, 1.38, 92.06
59734.0, 1.38, 349.61, 7.09, 392.59, 1.38, 93.44
59735.0, 1.39, 351.00, 7.08, 399.66, 1.39, 94.83
59736.0, 4.97, 355.97, 3.48, 403.14, 1.39, 96.22
59737.0, 5.46, 361.44, 2.98, 406.12, 1.39, 97.61
59738.0, 5.93, 367.36, 2.50, 408.62, 1.39, 99.00
59739.0, 6.39, 373.75, 2.03, 410.64, 1.40, 100.40
59740.0, 6.87, 380.63, 1.53, 412.17, 1.40, 101.80
59741.0, 7.41, 388.04, 0.99, 413.16, 1.40, 103.20
59742.0, 8.39, 396.43, 0.00, 413.16, 1.40, 104.60
59743.0, 8.38, 404.81, 0.00, 413.16, 1.40, 106.00
59744.0, 8.38, 413.18, 0.00, 413.16, 1.40, 107.41
59746.0, 7.87, 421.05, 0.49, 413.66, 1.41, 108.81
59747.0, 6.94, 428.00, 1.42, 415.07, 1.41, 110.22
59748.0, 6.18, 434.18, 2.18, 417.25, 1.41, 111.63
59749.0, 5.55, 439.73, 2.81, 420.05, 1.41, 113.04
59750.0, 5.01, 444.73, 3.35, 423.40, 1.41, 114.45
59751.0, 4.52, 449.26, 3.83, 427.23, 1.41, 115.86
59752.0, 4.06, 453.32, 4.29, 431.52, 1.41, 117.27
59753.0, 1.41, 454.73, 6.95, 438.47, 1.41, 118.68
59754.0, 1.41, 456.14, 6.95, 445.42, 1.41, 120.09
59755.0, 1.41, 457.55, 6.95, 452.37, 1.41, 121.49
59756.0, 1.41, 458.95, 6.96, 459.33, 1.41, 122.90
59757.0, 1.41, 460.36, 6.96, 466.29, 1.41, 124.31
59758.0, 1.40, 461.76, 6.97, 473.26, 1.40, 125.71
59759.0, 1.40, 463.17, 6.98, 480.23, 1.40, 127.12
59760.0, 1.40, 464.57, 6.99, 487.22, 1.40, 128.52
59761.0, 1.40, 465.97, 7.00, 494.21, 1.40, 129.92
59762.0, 1.40, 467.37, 7.01, 501.22, 1.40, 131.32
59763.0, 1.40, 468.77, 7.02, 508.24, 1.40, 132.71
59764.0, 1.39, 470.16, 7.03, 515.27, 1.39, 134.11
59786.0, 1.32, 471.47, 7.52, 522.79, 1.32, 135.42
59787.0, 1.31, 472.79, 7.55, 530.34, 1.31, 136.73
59788.0, 1.31, 474.09, 7.58, 537.92, 1.31, 138.04
59789.0, 1.30, 475.39, 7.61, 545.53, 1.30, 139.34
59790.0, 1.30, 476.69, 7.64, 553.17, 1.30, 140.64
59791.0, 1.29, 477.98, 7.67, 560.85, 1.29, 141.93
59792.0, 1.29, 479.27, 7.71, 568.55, 1.29, 143.22
59793.0, 1.28, 480.56, 7.74, 576.29, 1.28, 144.50
59794.0, 1.28, 481.84, 7.77, 584.06, 1.28, 145.78
59795.0, 3.54, 485.38, 5.54, 589.60, 1.28, 147.06
59796.0, 4.08, 489.45, 5.03, 594.64, 1.27, 148.33
59797.0, 4.69, 494.15, 4.45, 599.09, 1.27, 149.60
59798.0, 5.42, 499.57, 3.75, 602.83, 1.26, 150.86
59799.0, 6.30, 505.87, 2.90, 605.73, 1.26, 152.12
59800.0, 7.35, 513.22, 1.88, 607.61, 1.25, 153.37
59801.0, 8.54, 521.76, 0.72, 608.33, 1.25, 154.62
59802.0, 9.29, 531.05, 0.00, 608.33, 1.24, 155.86
59803.0, 9.32, 540.37, 0.00, 608.33, 1.24, 157.10
59804.0, 9.35, 549.73, 0.00, 608.33, 1.24, 158.34
59805.0, 9.39, 559.11, 0.00, 608.33, 1.23, 159.57
59806.0, 8.56, 567.68, 0.86, 609.18, 1.23, 160.80
59807.0, 8.09, 575.76, 1.36, 610.55, 1.22, 162.02
59808.0, 7.61, 583.37, 1.87, 612.42, 1.22, 163.24
59809.0, 7.12, 590.49, 2.40, 614.82, 1.22, 164.45
59810.0, 6.58, 597.06, 2.97, 617.79, 1.21, 165.66
59811.0, 5.97, 603.04, 3.61, 621.40, 1.21, 166.87
59812.0, 1.20, 604.24, 8.41, 629.80, 1.20, 168.08
59813.0, 1.20, 605.44, 8.45, 638.25, 1.20, 169.28
59814.0, 1.20, 606.64, 8.48, 646.73, 1.20, 170.47
59815.0, 1.19, 607.83, 8.52, 655.25, 1.19, 171.66
59816.0, 1.19, 609.02, 8.56, 663.81, 1.19, 172.85
59817.0, 1.19, 610.20, 8.59, 672.40, 1.19, 174.04
59818.0, 1.18, 611.39, 8.63, 681.04, 1.18, 175.22
59819.0, 1.18, 612.56, 8.67, 689.70, 1.18, 176.40
59820.0, 1.18, 613.74, 8.71, 698.41, 1.18, 177.58
59821.0, 1.17, 614.91, 8.74, 707.15, 1.17, 178.75
59822.0, 1.17, 616.08, 8.78, 715.93, 1.17, 179.92
59823.0, 1.17, 617.25, 8.82, 724.75, 1.17, 181.08
59824.0, 1.16, 618.41, 8.85, 733.60, 1.16, 182.25
59825.0, 3.86, 622.27, 6.19, 739.80, 1.16, 183.41
59826.0, 4.67, 626.94, 5.42, 745.21, 1.16, 184.56
59827.0, 5.63, 632.57, 4.49, 749.70, 1.15, 185.72
59828.0, 6.74, 639.31, 3.41, 753.12, 1.15, 186.87
59829.0, 7.95, 647.26, 2.24, 755.36, 1.15, 188.02
59830.0, 9.18, 656.44, 1.04, 756.40, 1.15, 189.17
59831.0, 10.26, 666.70, 0.00, 756.40, 1.14, 190.31
59832.0, 10.29, 676.99, 0.00, 756.40, 1.14, 191.45
59834.0, 10.36, 687.35, 0.00, 756.40, 1.14, 192.59
59835.0, 9.93, 697.28, 0.46, 756.86, 1.14, 193.73
59836.0, 9.44, 706.72, 0.99, 757.85, 1.13, 194.86
59837.0, 8.91, 715.63, 1.55, 759.40, 1.13, 195.99
59838.0, 8.32, 723.95, 2.17, 761.58, 1.13, 197.12
59839.0, 7.66, 731.61, 2.87, 764.44, 1.13, 198.25
59840.0, 6.92, 738.53, 3.65, 768.09, 1.13, 199.38
59841.0, 6.09, 744.62, 4.51, 772.60, 1.13, 200.50
59842.0, 1.12, 745.74, 9.51, 782.11, 1.12, 201.63
59843.0, 1.12, 746.87, 9.55, 791.65, 1.12, 202.75
59844.0, 0.48, 747.35, 9.58, 801.24, 0.48, 203.23
59845.0, 0.48, 747.83, 9.62, 810.85, 0.48, 203.71
59846.0, 0.48, 748.31, 9.65, 820.50, 0.48, 204.19
59847.0, 0.48, 748.79, 9.69, 830.19, 0.48, 204.67
59848.0, 0.48, 749.27, 9.72, 839.91, 0.48, 205.15
59849.0, 0.48, 749.75, 9.75, 849.66, 0.48, 205.63
59850.0, 0.48, 750.23, 9.79, 859.45, 0.48, 206.11
59851.0, 0.48, 750.71, 9.82, 869.27, 0.48, 206.59
59852.0, 0.48, 751.18, 9.86, 879.13, 0.48, 207.07
59853.0, 0.48, 751.66, 9.89, 889.02, 0.48, 207.54
59854.0, 3.49, 755.15, 6.92, 895.94, 0.48, 208.02
59855.0, 4.53, 759.68, 5.90, 901.84, 0.48, 208.50
59856.0, 5.69, 765.37, 4.78, 906.62, 0.48, 208.97
59857.0, 6.88, 772.25, 3.62, 910.24, 0.48, 209.45
59858.0, 8.08, 780.33, 2.46, 912.70, 0.48, 209.93
59859.0, 9.24, 789.57, 1.33, 914.03, 0.48, 210.40
59860.0, 10.60, 800.17, 0.00, 914.03, 0.48, 210.88
59862.0, 10.66, 810.83, 0.00, 914.03, 0.48, 211.36
59863.0, 10.70, 821.53, 0.00, 914.03, 0.48, 211.83
59864.0, 10.73, 832.25, 0.00, 914.03, 0.48, 212.31
59865.0, 10.06, 842.32, 0.69, 914.72, 0.48, 212.78
59866.0, 9.43, 851.75, 1.36, 916.08, 0.48, 213.26
59867.0, 8.72, 860.46, 2.11, 918.19, 0.48, 213.73
59868.0, 7.92, 868.38, 2.94, 921.12, 0.48, 214.21
59869.0, 7.04, 875.42, 3.84, 924.96, 0.48, 214.69
59870.0, 6.11, 881.53, 4.80, 929.76, 0.48, 215.16
59871.0, 0.48, 882.01, 10.47, 940.23, 0.48, 215.64
59872.0, 0.48, 882.49, 10.50, 950.73, 0.48, 216.12
59873.0, 0.48, 882.96, 10.53, 961.25, 0.48, 216.59
59874.0, 0.48, 883.44, 10.56, 971.81, 0.48, 217.07
59875.0, 0.48, 883.92, 10.59, 982.40, 0.48, 217.55
59876.0, 0.48, 884.40, 10.61, 993.01, 0.48, 218.03
59877.0, 0.48, 884.88, 10.64, 1003.65, 0.48, 218.50
59878.0, 0.48, 885.35, 10.67, 1014.32, 0.48, 218.98
59879.0, 0.48, 885.83, 10.70, 1025.02, 0.48, 219.46
59880.0, 0.48, 886.31, 10.73, 1035.75, 0.48, 219.94
59881.0, 0.48, 886.79, 10.75, 1046.50, 0.48, 220.42
59882.0, 0.48, 887.27, 10.78, 1057.28, 0.48, 220.90
59883.0, 4.05, 891.32, 7.24, 1064.52, 0.48, 221.38
59884.0, 5.23, 896.55, 6.09, 1070.61, 0.48, 221.86
59885.0, 6.40, 902.95, 4.94, 1075.55, 0.48, 222.34
59886.0, 7.54, 910.49, 3.82, 1079.37, 0.48, 222.83
59887.0, 8.64, 919.14, 2.75, 1082.12, 0.48, 223.31
59888.0, 9.71, 928.84, 1.71, 1083.84, 0.48, 223.79
59889.0, 10.75, 939.60, 0.69, 1084.53, 0.48, 224.28
59890.0, 11.47, 951.06, 0.00, 1084.53, 0.48, 224.76
59891.0, 11.49, 962.56, 0.00, 1084.53, 0.49, 225.25
59893.0, 11.54, 974.10, 0.00, 1084.53, 0.49, 225.73
59894.0, 11.56, 985.66, 0.00, 1084.53, 0.49, 226.22
59895.0, 10.41, 996.07, 1.18, 1085.71, 0.49, 226.71
59896.0, 9.56, 1005.63, 2.05, 1087.76, 0.49, 227.20
59897.0, 8.65, 1014.28, 2.98, 1090.74, 0.49, 227.68
59898.0, 7.71, 1022.00, 3.94, 1094.68, 0.49, 228.17
59899.0, 6.76, 1028.75, 4.92, 1099.60, 0.49, 228.66
59900.0, 5.81, 1034.56, 5.89, 1105.49, 0.49, 229.15
59901.0, 0.49, 1035.05, 11.23, 1116.71, 0.49, 229.64
59902.0, 0.49, 1035.54, 11.24, 1127.96, 0.49, 230.14
59903.0, 0.49, 1036.04, 11.26, 1139.22, 0.49, 230.63
59904.0, 0.49, 1036.53, 11.28, 1150.51, 0.49, 231.12
59905.0, 0.49, 1037.02, 11.30, 1161.81, 0.49, 231.62
59906.0, 0.49, 1037.52, 11.32, 1173.12, 0.49, 232.11
59907.0, 0.49, 1038.01, 11.33, 1184.46, 0.49, 232.61
59908.0, 0.50, 1038.51, 11.35, 1195.81, 0.50, 233.10
59909.0, 0.50, 1039.00, 11.37, 1207.17, 0.50, 233.60
59910.0, 0.50, 1039.50, 11.38, 1218.56, 0.50, 234.09
59911.0, 0.50, 1040.00, 11.40, 1229.95, 0.50, 234.59
59912.0, 0.50, 1040.49, 11.41, 1241.36, 0.50, 235.09
59913.0, 5.62, 1046.12, 6.30, 1247.66, 0.50, 235.59
59914.0, 6.72, 1052.84, 5.21, 1252.87, 0.50, 236.09
59915.0, 7.78, 1060.62, 4.17, 1257.05, 0.50, 236.59
59916.0, 8.80, 1069.42, 3.16, 1260.21, 0.50, 237.09
59917.0, 9.81, 1079.22, 2.17, 1262.38, 0.50, 237.59
59918.0, 10.82, 1090.04, 1.17, 1263.54, 0.50, 238.09
59919.0, 12.00, 1102.04, 0.00, 1263.54, 0.50, 238.59
59920.0, 12.01, 1114.04, 0.00, 1263.54, 0.50, 239.09
59922.0, 12.02, 1126.07, 0.00, 1263.54, 0.50, 239.59
59923.0, 12.03, 1138.10, 0.00, 1263.54, 0.50, 240.09
59924.0, 11.15, 1149.25, 0.89, 1264.43, 0.50, 240.60
59925.0, 10.22, 1159.47, 1.83, 1266.26, 0.50, 241.10
59926.0, 9.27, 1168.74, 2.78, 1269.04, 0.50, 241.60
59927.0, 8.32, 1177.07, 3.73, 1272.77, 0.50, 242.11
59928.0, 7.39, 1184.46, 4.68, 1277.45, 0.50, 242.61
59929.0, 6.45, 1190.90, 5.62, 1283.07, 0.50, 243.12
59930.0, 5.50, 1196.40, 6.57, 1289.64, 0.50, 243.62
59931.0, 0.50, 1196.91, 11.57, 1301.21, 0.50, 244.12
59932.0, 0.50, 1197.41, 11.57, 1312.78, 0.50, 244.63
59933.0, 0.50, 1197.92, 11.57, 1324.35, 0.50, 245.13
59934.0, 0.50, 1198.42, 11.57, 1335.93, 0.50, 245.64
59935.0, 0.50, 1198.93, 11.57, 1347.50, 0.50, 246.14
59936.0, 0.50, 1199.43, 11.57, 1359.07, 0.50, 246.65
59937.0, 0.50, 1199.93, 11.57, 1370.64, 0.50, 247.15
59938.0, 0.50, 1200.44, 11.57, 1382.21, 0.50, 247.66
59939.0, 0.50, 1200.94, 11.57, 1393.78, 0.50, 248.16
59940.0, 0.50, 1201.45, 11.56, 1405.34, 0.50, 248.66
59941.0, 0.50, 1201.95, 11.56, 1416.90, 0.50, 249.17
59942.0, 5.50, 1207.45, 6.56, 1423.46, 0.50, 249.67
59943.0, 6.53, 1213.99, 5.52, 1428.98, 0.50, 250.18
59944.0, 7.54, 1221.53, 4.51, 1433.49, 0.50, 250.68
59945.0, 8.54, 1230.07, 3.50, 1436.99, 0.50, 251.18
59946.0, 9.54, 1239.60, 2.50, 1439.49, 0.50, 251.68
