mjd, bright, cum_bright, dark, cum_dark
60001.0, 2.47, 2.47, 6.50, 6.50
60002.0, 3.14, 5.61, 5.86, 12.37
60003.0, 3.89, 9.50, 5.15, 17.52
60004.0, 4.71, 14.21, 4.37, 21.89
60005.0, 5.60, 19.81, 3.51, 25.40
60006.0, 6.53, 26.34, 2.61, 28.01
60007.0, 7.49, 33.82, 1.69, 29.69
60008.0, 8.44, 42.27, 0.76, 30.46
60009.0, 9.24, 51.50, 0.00, 30.46
60010.0, 9.27, 60.77, 0.00, 30.46
60011.0, 9.30, 70.08, 0.00, 30.46
60014.0, 8.63, 78.70, 0.77, 31.23
60015.0, 8.09, 86.79, 1.34, 32.57
60016.0, 7.47, 94.27, 1.99, 34.56
60017.0, 6.75, 101.02, 2.74, 37.30
60018.0, 5.89, 106.91, 3.63, 40.94
60019.0, 4.89, 111.80, 4.66, 45.60
60020.0, 0.00, 111.80, 9.59, 55.19
60021.0, 0.00, 111.80, 9.62, 64.81
60022.0, 0.00, 111.80, 9.65, 74.46
60023.0, 0.00, 111.80, 9.68, 84.14
60024.0, 0.00, 111.80, 9.71, 93.86
60025.0, 0.00, 111.80, 9.74, 103.60
60026.0, 0.00, 111.80, 9.77, 113.37
60027.0, 0.00, 111.80, 9.80, 123.17
60028.0, 0.00, 111.80, 9.83, 133.01
60029.0, 0.00, 111.80, 9.86, 142.87
60030.0, 0.00, 111.80, 9.89, 152.76
60031.0, 3.12, 114.92, 6.80, 159.57
60032.0, 3.99, 118.91, 5.96, 165.52
60033.0, 4.92, 123.83, 5.06, 170.58
60034.0, 5.88, 129.71, 4.13, 174.71
60035.0, 6.84, 136.55, 3.20, 177.91
60036.0, 7.79, 144.33, 2.28, 180.19
60037.0, 8.73, 153.06, 1.37, 181.56
60038.0, 9.66, 162.72, 0.46, 182.02
60039.0, 10.15, 172.87, 0.00, 182.02
60042.0, 10.23, 183.10, 0.00, 182.02
60043.0, 9.74, 192.84, 0.51, 182.53
60044.0, 9.05, 201.89, 1.24, 183.77
60045.0, 8.22, 210.11, 2.09, 185.86
60046.0, 7.27, 217.38, 3.07, 188.93
60047.0, 6.20, 223.58, 4.16, 193.09
60048.0, 5.07, 228.65, 5.32, 198.41
60049.0, 0.00, 228.65, 10.41, 208.83
60050.0, 0.00, 228.65, 10.44, 219.27
60051.0, 0.00, 228.65, 10.47, 229.73
60052.0, 0.00, 228.65, 10.49, 240.22
60053.0, 0.00, 228.65, 10.51, 250.74
60054.0, 0.00, 228.65, 10.54, 261.28
60055.0, 0.00, 228.65, 10.56, 271.84
60056.0, 0.00, 228.65, 10.59, 282.43
60057.0, 0.00, 228.65, 10.61, 293.04
60058.0, 0.00, 228.65, 10.63, 303.67
60059.0, 0.00, 228.65, 10.66, 314.33
60060.0, 0.00, 228.65, 10.68, 325.01
60061.0, 4.15, 232.81, 6.55, 331.55
60062.0, 5.11, 237.92, 5.61, 337.17
60063.0, 6.06, 243.97, 4.69, 341.86
60064.0, 6.99, 250.96, 3.78, 345.63
60065.0, 7.91, 258.88, 2.87, 348.51
60066.0, 8.84, 267.72, 1.97, 350.47
60067.0, 9.79, 277.50, 1.04, 351.52
60068.0, 10.85, 288.35, 0.00, 351.52
60069.0, 10.87, 299.22, 0.00, 351.52
60072.0, 10.93, 310.15, 0.00, 351.52
60073.0, 9.61, 319.77, 1.33, 352.85
60074.0, 8.56, 328.33, 2.41, 355.26
60075.0, 7.43, 335.76, 3.55, 358.81
60076.0, 6.29, 342.04, 4.71, 363.52
60077.0, 5.17, 347.21, 5.85, 369.38
60078.0, 0.00, 347.21, 11.04, 380.41
60079.0, 0.00, 347.21, 11.05, 391.46
60080.0, 0.00, 347.21, 11.07, 402.53
60081.0, 0.00, 347.21, 11.08, 413.61
60082.0, 0.00, 347.21, 11.10, 424.71
60083.0, 0.00, 347.21, 11.11, 435.83
60084.0, 0.00, 347.21, 11.13, 446.96
60085.0, 0.00, 347.21, 11.14, 458.10
60086.0, 0.00, 347.21, 11.16, 469.26
60087.0, 0.00, 347.21, 11.17, 480.43
60088.0, 0.00, 347.21, 11.18, 491.61
60089.0, 0.00, 347.21, 11.20, 502.81
60090.0, 0.00, 347.21, 11.21, 514.02
60091.0, 5.05, 352.26, 6.17, 520.19
60092.0, 5.96, 358.21, 5.28, 525.47
60093.0, 6.86, 365.07, 4.38, 529.85
60094.0, 7.77, 372.85, 3.48, 533.33
60095.0, 8.72, 381.56, 2.55, 535.88
60096.0, 9.71, 391.27, 1.57, 537.45
60097.0, 10.76, 402.04, 0.52, 537.97
60098.0, 11.29, 413.33, 0.00, 537.97
60101.0, 11.32, 424.65, 0.00, 537.97
60102.0, 9.84, 434.49, 1.48, 539.45
60103.0, 8.66, 443.15, 2.67, 542.12
60104.0, 7.51, 450.66, 3.83, 545.95
60105.0, 6.40, 457.06, 4.94, 550.89
60106.0, 5.34, 462.40, 6.01, 556.90
60107.0, 0.00, 462.40, 11.35, 568.25
60108.0, 0.00, 462.40, 11.36, 579.61
60109.0, 0.00, 462.40, 11.36, 590.97
60110.0, 0.00, 462.40, 11.36, 602.33
60111.0, 0.00, 462.40, 11.37, 613.70
60112.0, 0.00, 462.40, 11.37, 625.06
60113.0, 0.00, 462.40, 11.37, 636.44
60114.0, 0.00, 462.40, 11.37, 647.81
60115.0, 0.00, 462.40, 11.37, 659.18
60116.0, 0.00, 462.40, 11.37, 670.55
60117.0, 0.00, 462.40, 11.37, 681.93
60118.0, 0.00, 462.40, 11.37, 693.30
60119.0, 0.00, 462.40, 11.37, 704.67
60120.0, 4.68, 467.08, 6.69, 711.36
60121.0, 5.57, 472.65, 5.80, 717.16
60122.0, 6.47, 479.12, 4.90, 722.06
60123.0, 7.41, 486.52, 3.95, 726.01
60124.0, 8.41, 494.93, 2.95, 728.97
60125.0, 9.47, 504.41, 1.88, 730.85
60126.0, 10.60, 515.01, 0.75, 731.60
60127.0, 11.35, 526.35, 0.00, 731.60
60128.0, 11.34, 537.70, 0.00, 731.60
60131.0, 9.85, 547.54, 1.48, 733.08
60132.0, 8.67, 556.21, 2.64, 735.72
60133.0, 7.56, 563.77, 3.75, 739.47
60134.0, 6.49, 570.26, 4.81, 744.28
60135.0, 5.46, 575.72, 5.83, 750.11
60136.0, 4.44, 580.16, 6.85, 756.96
60137.0, 0.00, 580.16, 11.27, 768.23
60138.0, 0.00, 580.16, 11.26, 779.50
60139.0, 0.00, 580.16, 11.25, 790.75
60140.0, 0.00, 580.16, 11.24, 801.99
60141.0, 0.00, 580.16, 11.23, 813.23
60142.0, 0.00, 580.16, 11.22, 824.45
60143.0, 0.00, 580.16, 11.21, 835.65
60144.0, 0.00, 580.16, 11.20, 846.85
60145.0, 0.00, 580.16, 11.18, 858.03
60146.0, 0.00, 580.16, 11.17, 869.20
60147.0, 0.00, 580.16, 11.16, 880.36
60148.0, 0.00, 580.16, 11.14, 891.50
60149.0, 0.00, 580.16, 11.13, 902.63
60150.0, 5.06, 585.21, 6.06, 908.69
60151.0, 6.00, 591.22, 5.10, 913.79
60152.0, 7.01, 598.22, 4.08, 917.86
60153.0, 8.08, 606.30, 2.99, 920.85
60154.0, 9.19, 615.49, 1.86, 922.71
60155.0, 10.30, 625.79, 0.73, 923.45
60156.0, 11.02, 636.81, 0.00, 923.45
60157.0, 11.00, 647.82, 0.00, 923.45
60158.0, 10.98, 658.80, 0.00, 923.45
60161.0, 8.55, 667.35, 2.38, 925.83
60162.0, 7.46, 674.80, 3.46, 929.29
60163.0, 6.39, 681.19, 4.50, 933.79
60164.0, 5.33, 686.53, 5.54, 939.33
60165.0, 4.29, 690.81, 6.57, 945.89
60166.0, 0.00, 690.81, 10.83, 956.73
60167.0, 0.00, 690.81, 10.81, 967.54
60168.0, 0.00, 690.81, 10.79, 978.33
60169.0, 0.00, 690.81, 10.77, 989.10
60170.0, 0.00, 690.81, 10.75, 999.85
60171.0, 0.00, 690.81, 10.73, 1010.58
60172.0, 0.00, 690.81, 10.71, 1021.29
60173.0, 0.00, 690.81, 10.68, 1031.97
60174.0, 0.00, 690.81, 10.66, 1042.63
60175.0, 0.00, 690.81, 10.64, 1053.27
60176.0, 0.00, 690.81, 10.62, 1063.89
60177.0, 0.00, 690.81, 10.59, 1074.48
60178.0, 0.00, 690.81, 10.57, 1085.05
60179.0, 4.64, 695.45, 5.91, 1090.96
60180.0, 5.65, 701.10, 4.87, 1095.83
60181.0, 6.72, 707.82, 3.78, 1099.61
60182.0, 7.80, 715.62, 2.67, 1102.28
60183.0, 8.84, 724.47, 1.60, 1103.89
60184.0, 9.80, 734.26, 0.63, 1104.51
60185.0, 10.40, 744.66, 0.00, 1104.51
60186.0, 10.37, 755.04, 0.00, 1104.51
60189.0, 9.36, 764.40, 0.93, 1105.45
60190.0, 8.24, 772.64, 2.03, 1107.47
60191.0, 7.14, 779.78, 3.11, 1110.58
60192.0, 6.04, 785.83, 4.17, 1114.75
60193.0, 4.96, 790.79, 5.23, 1119.98
60194.0, 3.92, 794.71, 6.24, 1126.22
60195.0, 2.95, 797.66, 7.19, 1133.41
60196.0, 0.00, 797.66, 10.11, 1143.52
60197.0, 0.00, 797.66, 10.08, 1153.60
60198.0, 0.00, 797.66, 10.05, 1163.65
60199.0, 0.00, 797.66, 10.03, 1173.68
60200.0, 0.00, 797.66, 10.00, 1183.68
60201.0, 0.00, 797.66, 9.97, 1193.64
60202.0, 0.00, 797.66, 9.94, 1203.58
60203.0, 0.00, 797.66, 9.91, 1213.50
60204.0, 0.00, 797.66, 9.88, 1223.38
60205.0, 0.00, 797.66, 9.85, 1233.23
60206.0, 0.00, 797.66, 9.82, 1243.06
60207.0, 0.00, 797.66, 9.79, 1252.85
60208.0, 0.00, 797.66, 9.76, 1262.62
60209.0, 5.41, 803.07, 4.33, 1266.94
60210.0, 6.44, 809.51, 3.27, 1270.21
60211.0, 7.39, 816.90, 2.28, 1272.49
60212.0, 8.24, 825.15, 1.40, 1273.89
60213.0, 8.99, 834.14, 0.63, 1274.52
60214.0, 9.58, 843.72, 0.00, 1274.52
60215.0, 9.55, 853.27, 0.00, 1274.52
60216.0, 9.52, 862.79, 0.00, 1274.52
60219.0, 7.81, 870.60, 1.62, 1276.14
60220.0, 6.68, 877.28, 2.72, 1278.86
60221.0, 5.58, 882.87, 3.78, 1282.64
60222.0, 4.55, 887.42, 4.78, 1287.42
60223.0, 3.61, 891.03, 5.69, 1293.11
60224.0, 2.78, 893.80, 6.49, 1299.61
60225.0, 0.00, 893.80, 9.24, 1308.84
60226.0, 0.00, 893.80, 9.21, 1318.05
60227.0, 0.00, 893.80, 9.17, 1327.22
60228.0, 0.00, 893.80, 9.14, 1336.36
60229.0, 0.00, 893.80, 9.11, 1345.47
60230.0, 0.00, 893.80, 9.08, 1354.55
60231.0, 0.00, 893.80, 9.04, 1363.59
60232.0, 0.00, 893.80, 9.01, 1372.61
60233.0, 0.00, 893.80, 8.98, 1381.58
60234.0, 0.00, 893.80, 8.95, 1390.53
60235.0, 0.00, 893.80, 8.91, 1399.44
60236.0, 0.00, 893.80, 8.88, 1408.32
60237.0, 0.00, 893.80, 8.85, 1417.17
60238.0, 5.00, 898.80, 3.82, 1420.99
60239.0, 5.86, 904.66, 2.93, 1423.91
60240.0, 6.61, 911.27, 2.14, 1426.06
60241.0, 7.26, 918.53, 1.46, 1427.51
60242.0, 7.85, 926.37, 0.84, 1428.35
60243.0, 8.65, 935.03, 0.00, 1428.35
60244.0, 8.62, 943.65, 0.00, 1428.35
60245.0, 8.59, 952.23, 0.00, 1428.35
60248.0, 7.38, 959.61, 1.11, 1429.46
60249.0, 6.29, 965.91, 2.17, 1431.63
60250.0, 5.29, 971.19, 3.14, 1434.77
60251.0, 4.39, 975.59, 4.00, 1438.77
60252.0, 3.62, 979.20, 4.75, 1443.51
60253.0, 2.95, 982.16, 5.38, 1448.89
60254.0, 2.37, 984.53, 5.93, 1454.82
60255.0, 0.00, 984.53, 8.27, 1463.09
60256.0, 0.00, 984.53, 8.24, 1471.33
60257.0, 0.00, 984.53, 8.21, 1479.54
60258.0, 0.00, 984.53, 8.18, 1487.72
60259.0, 0.00, 984.53, 8.15, 1495.86
60260.0, 0.00, 984.53, 8.12, 1503.98
60261.0, 0.00, 984.53, 8.09, 1512.07
60262.0, 0.00, 984.53, 8.06, 1520.13
60263.0, 0.00, 984.53, 8.03, 1528.16
60264.0, 0.00, 984.53, 8.00, 1536.17
60265.0, 0.00, 984.53, 7.98, 1544.14
60266.0, 0.00, 984.53, 7.95, 1552.09
60267.0, 0.00, 984.53, 7.92, 1560.02
60268.0, 4.83, 989.36, 3.06, 1563.08
60269.0, 5.42, 994.78, 2.45, 1565.53
60270.0, 5.96, 1000.74, 1.89, 1567.42
60271.0, 6.47, 1007.21, 1.35, 1568.76
60272.0, 6.99, 1014.20, 0.80, 1569.57
60273.0, 7.77, 1021.98, 0.00, 1569.57
60274.0, 7.75, 1029.73, 0.00, 1569.57
60275.0, 7.73, 1037.45, 0.00, 1569.57
60278.0, 6.30, 1043.75, 1.36, 1570.93
60279.0, 5.48, 1049.23, 2.17, 1573.10
60280.0, 4.77, 1054.00, 2.86, 1575.95
60281.0, 4.16, 1058.16, 3.45, 1579.40
60282.0, 3.63, 1061.79, 3.96, 1583.36
60283.0, 3.16, 1064.95, 4.42, 1587.78
60284.0, 2.71, 1067.66, 4.85, 1592.63
60285.0, 0.00, 1067.66, 7.54, 1600.17
60286.0, 0.00, 1067.66, 7.53, 1607.70
60287.0, 0.00, 1067.66, 7.52, 1615.22
60288.0, 0.00, 1067.66, 7.50, 1622.72
60289.0, 0.00, 1067.66, 7.49, 1630.21
60290.0, 0.00, 1067.66, 7.48, 1637.70
60291.0, 0.00, 1067.66, 7.47, 1645.17
60292.0, 0.00, 1067.66, 7.47, 1652.64
60293.0, 0.00, 1067.66, 7.46, 1660.09
60294.0, 0.00, 1067.66, 7.45, 1667.55
60295.0, 0.00, 1067.66, 7.45, 1674.99
60296.0, 0.00, 1067.66, 7.44, 1682.43
60297.0, 3.61, 1071.27, 3.83, 1686.26
60298.0, 4.13, 1075.40, 3.30, 1689.57
60299.0, 4.65, 1080.04, 2.79, 1692.35
60300.0, 5.18, 1085.23, 2.25, 1694.60
60301.0, 5.77, 1091.00, 1.67, 1696.27
60302.0, 6.42, 1097.42, 1.01, 1697.28
60305.0, 7.45, 1104.87, 0.00, 1697.28
60308.0, 6.35, 1111.22, 1.11, 1698.39
60309.0, 5.81, 1117.03, 1.67, 1700.06
60310.0, 5.33, 1122.36, 2.16, 1702.22
60311.0, 4.89, 1127.25, 2.61, 1704.82
60312.0, 4.47, 1131.71, 3.04, 1707.86
60313.0, 4.04, 1135.75, 3.48, 1711.34
60314.0, 3.60, 1139.35, 3.93, 1715.27
60315.0, 0.00, 1139.35, 7.55, 1722.82
60316.0, 0.00, 1139.35, 7.56, 1730.38
60317.0, 0.00, 1139.35, 7.58, 1737.96
60318.0, 0.00, 1139.35, 7.59, 1745.55
60319.0, 0.00, 1139.35, 7.61, 1753.16
60320.0, 0.00, 1139.35, 7.63, 1760.79
60321.0, 0.00, 1139.35, 7.65, 1768.44
60322.0, 0.00, 1139.35, 7.67, 1776.10
60323.0, 0.00, 1139.35, 7.69, 1783.79
60324.0, 0.00, 1139.35, 7.71, 1791.50
60325.0, 0.00, 1139.35, 7.73, 1799.23
60326.0, 2.64, 1141.99, 5.12, 1804.35
60327.0, 3.18, 1145.17, 4.59, 1808.94
60328.0, 3.77, 1148.94, 4.03, 1812.98
60329.0, 4.41, 1153.35, 3.42, 1816.39
60330.0, 5.13, 1158.48, 2.72, 1819.11
60331.0, 5.95, 1164.43, 1.93, 1821.04
60332.0, 6.85, 1171.28, 1.05, 1822.09
60333.0, 7.93, 1179.21, 0.00, 1822.09
60334.0, 7.96, 1187.17, 0.00, 1822.09
60337.0, 8.04, 1195.21, 0.00, 1822.09
60338.0, 7.31, 1202.51, 0.76, 1822.85
60339.0, 6.89, 1209.40, 1.21, 1824.06
60340.0, 6.47, 1215.87, 1.65, 1825.72
60341.0, 6.05, 1221.92, 2.11, 1827.82
60342.0, 5.59, 1227.51, 2.60, 1830.42
60343.0, 5.07, 1232.58, 3.15, 1833.57
60344.0, 4.47, 1237.05, 3.78, 1837.35
60345.0, 0.00, 1237.05, 8.28, 1845.63
60346.0, 0.00, 1237.05, 8.31, 1853.94
60347.0, 0.00, 1237.05, 8.34, 1862.29
60348.0, 0.00, 1237.05, 8.38, 1870.66
60349.0, 0.00, 1237.05, 8.41, 1879.07
60350.0, 0.00, 1237.05, 8.44, 1887.51
60351.0, 0.00, 1237.05, 8.47, 1895.98
60352.0, 0.00, 1237.05, 8.50, 1904.49
60353.0, 0.00, 1237.05, 8.54, 1913.02
60354.0, 0.00, 1237.05, 8.57, 1921.59
60355.0, 0.00, 1237.05, 8.60, 1930.20
60356.0, 2.74, 1239.79, 5.90, 1936.09
60357.0, 3.46, 1243.25, 5.21, 1941.30
60358.0, 4.26, 1247.51, 4.44, 1945.74
60359.0, 5.15, 1252.66, 3.59, 1949.33
60360.0, 6.10, 1258.76, 2.66, 1951.99
60361.0, 7.09, 1265.85, 1.71, 1953.70
60362.0, 8.08, 1273.93, 0.76, 1954.46
60363.0, 8.87, 1282.80, 0.00, 1954.46
60364.0, 8.90, 1291.70, 0.00, 1954.46
60367.0, 9.00, 1300.70, 0.00, 1954.46
60368.0, 8.43, 1309.13, 0.60, 1955.06
60369.0, 7.99, 1317.12, 1.08, 1956.14
60370.0, 7.50, 1324.61, 1.60, 1957.75
60371.0, 6.93, 1331.54, 2.20, 1959.95
60372.0, 6.27, 1337.81, 2.90, 1962.84
60373.0, 5.48, 1343.29, 3.72, 1966.56
60374.0, 0.00, 1343.29, 9.23, 1975.79
60375.0, 0.00, 1343.29, 9.26, 1985.06
60376.0, 0.00, 1343.29, 9.29, 1994.35
60377.0, 0.00, 1343.29, 9.33, 2003.68
60378.0, 0.00, 1343.29, 9.36, 2013.04
60379.0, 0.00, 1343.29, 9.39, 2022.43
60380.0, 0.00, 1343.29, 9.42, 2031.85
60381.0, 0.00, 1343.29, 9.46, 2041.31
60382.0, 0.00, 1343.29, 9.49, 2050.79
60383.0, 0.00, 1343.29, 9.52, 2060.31
60384.0, 0.00, 1343.29, 9.55, 2069.86
60385.0, 2.69, 1345.98, 6.89, 2076.75
60386.0, 3.58, 1349.56, 6.04, 2082.79
60387.0, 4.53, 1354.09, 5.11, 2087.90
60388.0, 5.52, 1359.61, 4.15, 2092.05
60389.0, 6.51, 1366.13, 3.19, 2095.24
60390.0, 7.49, 1373.62, 2.25, 2097.49
60391.0, 8.43, 1382.05, 1.33, 2098.82
60392.0, 9.35, 1391.39, 0.45, 2099.27
60393.0, 9.83, 1401.22, 0.00, 2099.27
60396.0, 9.91, 1411.13, 0.00, 2099.27
60397.0, 9.94, 1421.08, 0.00, 2099.27
60398.0, 9.22, 1430.29, 0.76, 2100.03
60399.0, 8.59, 1438.88, 1.41, 2101.44
60400.0, 7.85, 1446.73, 2.18, 2103.62
60401.0, 6.98, 1453.71, 3.08, 2106.70
60402.0, 5.99, 1459.70, 4.10, 2110.80
60403.0, 4.90, 1464.60, 5.22, 2116.01
60404.0, 0.00, 1464.60, 10.14, 2126.15
60405.0, 0.00, 1464.60, 10.17, 2136.32
60406.0, 0.00, 1464.60, 10.20, 2146.52
60407.0, 0.00, 1464.60, 10.22, 2156.75
60408.0, 0.00, 1464.60, 10.25, 2167.00
60409.0, 0.00, 1464.60, 10.28, 2177.28
60410.0, 0.00, 1464.60, 10.31, 2187.58
60411.0, 0.00, 1464.60, 10.33, 2197.91
60412.0, 0.00, 1464.60, 10.36, 2208.27
60413.0, 0.00, 1464.60, 10.38, 2218.66
60414.0, 0.00, 1464.60, 10.41, 2229.06
60415.0, 3.87, 1468.47, 6.57, 2235.63
60416.0, 4.88, 1473.35, 5.58, 2241.21
60417.0, 5.87, 1479.21, 4.62, 2245.83
60418.0, 6.82, 1486.04, 3.69, 2249.52
60419.0, 7.74, 1493.78, 2.79, 2252.31
60420.0, 8.64, 1502.41, 1.92, 2254.23
60421.0, 9.52, 1511.94, 1.06, 2255.29
60422.0, 10.60, 1522.54, 0.00, 2255.29
60423.0, 10.63, 1533.17, 0.00, 2255.29
60424.0, 10.65, 1543.82, 0.00, 2255.29
60427.0, 10.12, 1553.94, 0.60, 2255.89
60428.0, 9.28, 1563.22, 1.46, 2257.35
60429.0, 8.33, 1571.55, 2.43, 2259.78
60430.0, 7.28, 1578.83, 3.50, 2263.28
60431.0, 6.18, 1585.01, 4.62, 2267.90
60432.0, 5.06, 1590.08, 5.76, 2273.66
60433.0, 0.00, 1590.08, 10.84, 2284.50
60434.0, 0.00, 1590.08, 10.87, 2295.37
60435.0, 0.00, 1590.08, 10.88, 2306.25
60436.0, 0.00, 1590.08, 10.90, 2317.16
60437.0, 0.00, 1590.08, 10.92, 2328.08
60438.0, 0.00, 1590.08, 10.94, 2339.02
60439.0, 0.00, 1590.08, 10.96, 2349.98
60440.0, 0.00, 1590.08, 10.98, 2360.96
60441.0, 0.00, 1590.08, 11.00, 2371.96
60442.0, 0.00, 1590.08, 11.01, 2382.97
60443.0, 0.00, 1590.08, 11.03, 2394.00
60444.0, 4.02, 1594.10, 7.03, 2401.03
60445.0, 5.00, 1599.10, 6.07, 2407.10
60446.0, 5.93, 1605.02, 5.15, 2412.25
60447.0, 6.83, 1611.85, 4.27, 2416.52
